,Title,Theme,Show,Author,Length,Published,Views,Likes,Comments,Privacy Status,Region Restriction Count,Tag Count,
24,Supreme Court Advocate J Sai Deepak On The ASI Survey On The Gyanvapi | Places Of Worship | News18,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,13m 36s,2024-01-29T15:22:02Z,221034,5163,540,23,,,
25,Fatwa Issued Against Imam Who Attended Ram Mandir Pran Pratishtha Ceremony | India | News18,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,37m 58s,2024-01-29T14:53:47Z,83505,1302,605,21,,,
26,"Bharat Ke Amar Jawan! This Republic Day 2024, Honour I.N.A | Republic Day India News \ News18",Others,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,9m 45s,2024-01-25T15:39:01Z,1007,12,0,17,,,
27,"PM Modi's 'Vikas Guarantee', I.N.D.I.A's 'Expired Warranty'? | Congress | The Hard Facts | News18",Criticizing Opposition,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,43m 13s,2024-01-25T15:22:20Z,6935,74,27,22,,,
28,Mamata - Kejriwal Dump Congress: Unnatural Alliance's Natural Death? | I.N.D.I.A News | News18,Criticizing Opposition,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,15m 16s,2024-01-24T14:39:15Z,7312,51,35,21,,,
29,"Gyanvapi: They Mocked Aastha, Will They Now Trivialise Truth? | Gyanvapi Masjid News | News18",Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,36m 57s,2024-01-24T14:33:42Z,19484,440,130,23,,,
30,Rahul Gandhi | Congress' Bharat Jodo Nyay Yatra In Assam | Assam News | Himanta Biswa Sarma | News18,Criticizing Opposition,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,12m 21s,2024-01-23T15:29:03Z,3013,28,13,19,,,
31,Ram Mandir Ayodhya | I.N.D.I.A. Misread Bharat's Mood In 2024? | Ram Temple Inauguration | news18,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,38m 49s,2024-01-23T15:25:25Z,50476,578,242,20,,,
32,Ram Has Finally Come': Ayodhya Temple Opens as PM Modi Performs Pran Pratishtha | English News,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,52m 36s,2024-01-22T16:57:22Z,25825,314,52,18,,,
33,Ram Mandir Rises: Cultural Renaissance For India? | Ram Mandir Ayodhya | Ram Mandir Pran Pratsihtha,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,52m 42s,2024-01-20T14:43:15Z,20858,269,49,19,,,
34,After 500 Years Ram Lalla Virajman: Precedent In Ayodhya Key To Kashi? | Ram Temple Ayodhya | News18,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,36m 17s,2024-01-19T15:09:02Z,18031,210,41,19,,,
